title,link,published,sentiment_score
stock market today dow falls ahead of inflation data apple tesla up on target hikes live coverage,https://finance.yahoo.com/m/296bfec4-debf-3635-a8f4-e936a36cf1b0/stock-market-today%3A-dow-falls.html?.tsrc=rss,"Mon, 22 Sep 2025 12:59:01 +0000",-1
tesla stock rises on another price target hike record highs are in sight,https://finance.yahoo.com/m/2f36145a-c051-3e2c-b192-f6a30c727062/tesla-stock-rises-on-another.html?.tsrc=rss,"Mon, 22 Sep 2025 12:42:00 +0000",-1
apple stock has been struggling how the iphone could spark a rebound,https://finance.yahoo.com/m/1f3a3606-1178-3f20-97ad-ede648426aa7/apple-stock-has-been.html?.tsrc=rss,"Mon, 22 Sep 2025 12:26:00 +0000",-1
jefferies sees a downside risk for apple amid softer iphone average selling prices,https://finance.yahoo.com/news/jefferies-sees-downside-risk-apple-113927259.html?.tsrc=rss,"Mon, 22 Sep 2025 11:39:27 +0000",-1
the question why is student debt soaring,https://uk.finance.yahoo.com/news/student-debt-loans-uk-explainer-martin-lewis-112752591.html?.tsrc=rss,"Mon, 22 Sep 2025 11:27:52 +0000",-1
catalyst dearth caps wall street prebell asia up europe off,https://finance.yahoo.com/news/catalyst-dearth-caps-wall-street-111545480.html?.tsrc=rss,"Mon, 22 Sep 2025 11:15:45 +0000",1
trade outlook tech strength roil asian stock markets,https://finance.yahoo.com/news/trade-outlook-tech-strength-roil-110114801.html?.tsrc=rss,"Mon, 22 Sep 2025 11:01:14 +0000",1
steve jobs once paused for seconds to answer a students simple question here is what the apple cofounder said,https://finance.yahoo.com/news/steve-jobs-once-paused-18-104603826.html?.tsrc=rss,"Mon, 22 Sep 2025 10:46:03 +0000",-1
trump tiktok immigration visas are a distraction for markets what really matters for stocks,https://finance.yahoo.com/m/4929222e-6729-3fe1-92fe-577ec70f99fe/trump%2C-tiktok%2C-immigration.html?.tsrc=rss,"Mon, 22 Sep 2025 10:43:00 +0000",-1
uk considers cutting visa fees for highly skilled as us hikes hb prices,https://uk.finance.yahoo.com/news/uk-visa-fee-immigration-trump-h-1b-prices-102533291.html?.tsrc=rss,"Mon, 22 Sep 2025 10:25:33 +0000",-1
target announces biggest target circle week yet with deeper discounts seasonal styles member perks and exclusive product drops,https://finance.yahoo.com/news/target-announces-biggest-target-circle-100100915.html?.tsrc=rss,"Mon, 22 Sep 2025 10:01:00 +0000",-1
googles ad monopoly under microscope as judge weighs remedies,https://www.wsj.com/tech/googles-ad-monopoly-under-microscope-as-judge-weighs-remedies-71cf8d19?.tsrc=rss,"Mon, 22 Sep 2025 09:30:00 +0000",-1
experts warn of regulatory overreach at tpa webinar on global digital policy,https://finance.yahoo.com/news/experts-warn-regulatory-overreach-tpa-090000078.html?.tsrc=rss,"Mon, 22 Sep 2025 09:00:00 +0000",-1
interdigital raises third quarter outlook,https://finance.yahoo.com/news/interdigital-raises-third-quarter-outlook-083000709.html?.tsrc=rss,"Mon, 22 Sep 2025 08:30:00 +0000",1
big tech stocks hold steady after trump visa fees crackdown,https://finance.yahoo.com/news/big-tech-shares-steady-trump-063324397.html?.tsrc=rss,"Mon, 22 Sep 2025 06:33:24 +0000",1
what liz trusss minibudget taught us about the property market three years on,https://uk.finance.yahoo.com/news/liz-truss-mini-budget-property-market-mortgages-050048386.html?.tsrc=rss,"Mon, 22 Sep 2025 05:00:48 +0000",-1
why job applications are getting more complicated and putting off candidates,https://uk.finance.yahoo.com/news/job-applications-complicated-work-careers-180015784.html?.tsrc=rss,"Mon, 22 Sep 2025 05:00:15 +0000",-1
dow jones futures fall with apple nvidia at key levels take in these redhot stocks,https://finance.yahoo.com/m/5f47f039-3396-3111-b24a-3b981f1c36ac/dow-jones-futures-fall-with.html?.tsrc=rss,"Mon, 22 Sep 2025 02:44:31 +0000",-1
warren buffett stocks to buy hand over fist and to avoid,https://www.fool.com/investing/2025/09/21/3-warren-buffett-stocks-to-buy-hand-over-fist-and/?.tsrc=rss,"Sun, 21 Sep 2025 23:00:00 +0000",-1
ways tsmc makes its money,https://www.fool.com/investing/2025/09/21/4-ways-tsmc-makes-its-money/?.tsrc=rss,"Sun, 21 Sep 2025 17:07:00 +0000",1
